facilityid,name,latitude,longitude,baseline_summer_avg_tmax_f,threshold_f,source,prism_scale_m,retrieved
10005283,Washington Ridge Conservation Camp #44,39.3079091221786,-120.93491737585298,83.3,93.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005340,Cois M. Byrd Detention Center,33.581147847246136,-117.12241672177,89.5,99.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005341,Indio Juvenile Hall,33.70339507605988,-116.22241251718144,103.4,113.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006222,Camp Miller,34.093640682980926,-118.83823161297744,80.8,90.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006225,Camp Paige,34.152893963471456,-117.7445140430745,87.9,97.9,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005300,Stanislaus County Men'S Jail,37.640028286509654,-120.99654693026912,90.9,100.9,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005352,Santa Barbara County Medium Security Facility,34.44605863466011,-119.77662913612724,72.0,82.0,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000799,California Health Care Facility (Chcf),37.89778736654379,-121.1905848230992,89.5,99.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10001537,East Mesa Reentry Facility,32.588806952285296,-116.91889669723231,78.4,88.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006712,Stanislaus County Public Safety Center Unit 1 And Unit 2,37.58469199864496,-120.98530101477655,90.9,100.9,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006483,Arcadia Police Department Jail,34.13664247675464,-118.039708639047,88.6,98.6,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006484,Azusa Police Department Jail,34.1348471024137,-117.90660066978482,87.9,97.9,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006485,Beverly Hills Jail,34.073707405399574,-118.39985494688511,76.9,86.9,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005273,Chamberlain Creek Conservation Camp #17,39.35761682929475,-123.55627164419816,78.4,88.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10002352,Burbank City Jail,34.18344638964236,-118.30845716063072,85.1,95.1,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000780,Folsom State Prison (Fsp),38.69538346625723,-121.1630323451162,91.5,101.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10002344,Mcfarland Female Community Reentry Facility,35.667807046660805,-119.22698574189052,94.3,104.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000895,Alhambra City Jail,34.091960461497386,-118.12667840621174,86.2,96.2,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10002314,Placer County Jail,38.93578158697222,-121.10759015408996,89.1,99.1,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000782,Mule Creek State Prison (Mcsp),38.37074337471898,-120.95344581511613,91.2,101.2,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005351,Youth Leadership Academy,33.78427717878771,-117.88641503087702,82.3,92.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005345,Youth Guidance Center,33.781933227245936,-117.8831662123326,82.1,92.1,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
